rank,amfi_code,scheme_name,category,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,annualized_alpha,beta,max_drawdown,expense_ratio_pct,composite_score,peak_date,trough_date,recovery_date
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,0.2037595706234765,0.33991970400445304,0.3097410750185903,1.0685563482752414,1.6088160445087478,0.2698375144191807,0.023683558075848623,-0.11265729075028275,1.46,86.25,2023-07-11,2023-10-20,2024-02-21
2,120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,0.29627681171526876,0.3176924285223732,0.3282740607461121,0.8835305618597247,1.33612866427574,0.2926358334175106,0.000549004250631712,-0.18188513572116294,1.36,82.875,2024-10-24,2025-01-23,2025-03-07
3,120843,Kotak Flexicap Fund - Regular - Growth,Equity,0.2667758391882715,0.2957511058901836,0.3090745475400549,0.9658612153782937,1.4912612450422562,0.27330465038306057,-0.02282956979242654,-0.1297396816518679,1.45,82.0,2022-03-07,2022-04-13,2022-09-22
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,0.5327719549540499,0.3243397122906222,0.3012315310072722,0.8085194012683701,1.207163296240015,0.2719535450128533,0.0051035258305283104,-0.16217208574644848,1.38,80.75,2022-03-13,2022-05-12,2022-07-27
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,0.13073788394478303,0.32478927222623,0.2329511862010305,0.7149047328366387,1.072339810672569,0.2119482701352573,0.016232169761417007,-0.12588275606922517,0.8,79.375,2022-10-04,2023-05-30,2023-07-11
6,119094,Axis Midcap Fund - Regular - Growth,Equity,0.22277897154308546,0.35102527889035406,0.2821441719365203,0.7307741811176514,1.10165734136949,0.2607666908004223,-0.06626542862803757,-0.20960883862039192,1.38,78.25,2022-04-14,2022-08-11,2023-01-17
7,119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,0.6048929711840034,0.3044861306002782,0.25804686425584,0.8612453347404857,1.3126560267544425,0.23201007160635082,-0.03175144113890972,-0.1501238549864533,1.54,74.1875,2023-08-24,2024-02-05,2025-01-08
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,0.3978380253854239,0.2917135767741186,0.3194952310833252,0.9193326201674688,1.3970204175029586,0.2827036785246582,0.018133884083859245,-0.1639674294693263,1.6,73.6875,2023-08-10,2023-10-20,2024-04-10
9,119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,0.8285157468100046,0.2666309129954312,0.32423536152454613,0.711911712187564,1.0682054572673187,0.3033696538698332,-0.023196062044059693,-0.2870600572176455,1.43,68.0,2024-08-28,2025-05-14,2025-09-29
10,101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,0.4796379447633372,0.28960211096593724,0.2353836133468803,0.7176323139698311,1.0802639063120392,0.21399784776051212,0.02108631625012803,-0.11291596329323073,1.6,67.5625,2023-04-24,2023-07-05,2023-09-28
11,149324,DSP Small Cap Fund - Regular - Growth,Equity,0.6519546577826334,0.2699350260734621,0.3228744045157361,0.7146440460582312,1.0691734199067595,0.3005787817097677,0.011455159960520708,-0.31171900300634214,1.52,67.3125,2024-05-05,2025-01-03,2025-06-13
12,149323,DSP Midcap Fund - Regular - Growth,Equity,0.21497414349538224,0.26863103668817145,0.29581086910433996,0.8331444918410632,1.229791316659539,0.26598577542043045,-0.002523004664699247,-0.17248105753451382,1.61,66.75,2022-06-06,2022-10-24,2022-12-20
13,118632,Nippon India Large Cap Fund - Regular - Growth,Equity,0.340078958236512,0.22646647456747715,0.24049492662391758,0.7590872493026558,1.1319064113423973,0.21829397904608644,-0.008353832126962021,-0.17414075086657232,1.51,66.5625,2024-01-02,2024-07-19,2025-05-21
14,119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,0.057101178520777784,0.16263375081360643,0.21524235873769704,0.6484432595603177,0.9659754164592805,0.1986859936686296,-0.026159307513513405,-0.11803493502764295,0.66,64.75,2024-05-21,2024-09-02,2025-02-11
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,0.286975804558778,0.18429918008610047,0.19017795344711463,0.5064305663127462,0.749976531203338,0.17729754927531766,0.04882040425957739,-0.15200013055606398,0.92,59.25,2023-12-24,2025-01-01,2025-04-16
16,118633,Nippon India Large Cap Fund - Direct - Growth,Equity,0.25559539940517384,0.21084691029380598,0.16274217354504272,0.38894988221975946,0.5832095221824416,0.15643835948169668,-0.03663900671860934,-0.18629743138595511,0.72,58.5625,2023-10-30,2024-02-29,2024-07-26
17,118635,Nippon India ETF Nifty 50 BeES,Equity,0.22510248103762276,0.2000321571698329,0.15957231179671738,0.3933105901284166,0.5776689158862015,0.1513635464823924,-0.001433521389780133,-0.1165062450540909,0.89,58.375,2022-01-03,2022-06-09,2023-01-09
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,0.20222858595384663,0.19662361245910964,0.18232378887705947,0.519958949598863,0.7724208471952339,0.17048756803412696,-0.019486785689474526,-0.1085986215250232,1.57,55.0,2022-02-03,2022-03-29,2022-05-23
19,120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,0.08495135972254553,0.13974980348212673,0.18785325598262204,0.516711185408294,0.7618821945041628,0.17703302365844073,-0.0402689523698206,-0.13897862823061635,1.42,53.625,2023-09-19,2023-11-09,2024-03-11
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,0.14279834500870736,0.14744434832760533,0.2251686900711385,0.6408725255448724,0.9556496687521342,0.20873010086942337,-0.026387719943843004,-0.1527259422823477,1.52,53.4375,2023-09-05,2024-01-24,2024-04-25
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,0.4185299002066023,0.18417429266835228,0.1708486725575018,0.4047414286757042,0.5935601875037633,0.1625385327998104,0.04189646272811977,-0.1982565826298267,1.41,51.75,2023-04-02,2023-08-14,2024-01-11
22,119093,Axis Bluechip Fund - Direct - Growth,Equity,0.19781538524100495,0.20811559826631898,0.07897557854375958,-0.04708790996498501,-0.06694988868417401,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,48.25,2022-02-24,2023-05-22,2023-12-26
23,102887,UTI Flexi Cap Fund - Regular - Growth,Equity,0.1359304393755194,0.25549670172502026,0.16841120247307528,0.3847570659722777,0.571010408627676,0.16211256794033255,0.016682689437770827,-0.21539827112383225,1.64,46.1875,2022-01-03,2022-07-04,2023-03-16
24,149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,0.1812461925339035,0.1803973982038829,0.13393275924001857,0.23973797115762296,0.3457184416389599,0.13173190226099432,-0.004050271130006534,-0.14844576917771746,1.54,43.6875,2022-01-03,2022-02-04,2022-05-17
25,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,0.15455077019290386,0.11242518737374207,0.11301817123279978,0.13483980147950678,0.19273243686144967,0.11989100971217971,0.009054412621739154,-0.21117279560132118,0.78,42.75,2025-04-06,2025-09-12,2026-02-18
26,118634,Nippon India Small Cap Fund - Regular - Growth,Equity,0.158228664455887,0.080060298597036,0.16373474033415758,0.29243425280339513,0.42184072057754357,0.1750072167561127,0.1034966369133759,-0.2334488614483311,1.53,40.1875,2025-04-09,2026-02-20,2026-04-15
27,120841,Kotak Bluechip Fund - Regular - Growth,Equity,0.1684955152939842,0.1726301444443794,0.1353221114899239,0.2551968265447188,0.3715113011622121,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,39.375,2024-01-09,2025-02-14,2025-12-04
28,120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,0.07430320855847317,0.07392538786263403,0.07237539728384412,-3.6513201226048912,-4.638604317404523,0.06746210411099539,-0.0004440926329707234,-0.0009773140045925555,0.74,38.625,2025-10-16,2025-10-20,2025-10-24
29,120844,Kotak Liquid Fund - Regular - Growth,Debt,0.07125369741102916,0.06694394239074852,0.06915272985067156,-4.001594214078895,-4.990462470583562,0.06455677495375998,-0.00040074423947840013,-0.0011629327956168556,0.6,38.0,2024-04-14,2024-04-30,2024-05-03
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,0.1046246278808034,0.04061259859840338,0.05316889625171273,-0.8508437476383125,-1.1816296618926758,0.05074772999976104,0.0012566742731558458,-0.08316361763638702,0.55,35.875,2023-02-09,2024-02-09,2024-11-01
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,0.05525880326360788,0.05838988442093762,0.05889418716346717,-0.7433299453192576,-1.0401470438664435,0.05620895216638369,-0.006413850728276477,-0.04328728923970093,0.77,35.0,2024-09-16,2025-04-01,2025-08-22
32,100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,0.03707552701889649,0.03915479354684703,0.04458209619173137,-1.040265074604684,-1.428059221972932,0.042817920315060876,0.0011582183155281463,-0.04308263824636349,0.56,33.125,2023-05-23,2023-07-28,2024-01-30
33,101208,ABSL Liquid Fund - Regular - Growth,Debt,0.07241777200393584,0.06314299292105274,0.06509026855465327,-4.65184830273684,-5.578770386442654,0.060861457957871144,0.00026670968338238433,-0.0016224980244717857,0.79,32.875,2023-09-05,2023-09-12,2023-09-22
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,0.22518986942465924,0.0775416750547262,0.06701543482038463,-0.0581849178158015,-0.08184207044910544,0.0780443887615508,0.01805687420811816,-0.24003511326274884,1.56,28.25,2023-11-09,2024-10-17,2025-10-14
35,119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,0.13957994357447734,-0.01337083602283895,0.02054484701809378,-0.13622050190445179,-0.1910988446278012,0.048824215945539845,0.06200180438267168,-0.5257422117012851,0.72,24.5625,2023-01-17,2025-10-28,Unrecovered
36,119092,Axis Bluechip Fund - Regular - Growth,Equity,0.0161022963455828,0.005257668501786883,0.06367989237605243,-0.13104994990486982,-0.1867819056092187,0.0689952982167755,0.009730745001153637,-0.1440161790933726,1.64,23.1875,2023-10-12,2025-02-07,2025-12-31
37,101207,ABSL Small Cap Fund - Regular - Growth,Equity,-0.24000309180292634,-0.04151453816140693,0.07938764837247714,0.05263451566270341,0.07541484885085616,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,22.6875,2024-11-21,2026-05-11,Unrecovered
38,119095,Axis Small Cap Fund - Regular - Growth,Equity,-0.42819495166622135,-0.11703299329834216,0.015215045330823962,-0.151705367382913,-0.21478181106532881,0.048015953637759554,-0.066951174639292,-0.5167775370852656,1.38,17.875,2025-05-22,2026-05-11,Unrecovered
39,102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.16807959958672036,-0.007672319440258146,0.011717454918341197,-0.2949807070674294,-0.41083150254946965,0.028969397866379445,-0.04212502902189432,-0.2800112356639287,1.51,16.1875,2025-01-07,2026-04-27,Unrecovered
40,100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,-0.022257773892688015,0.012923525892154508,0.026370743672111008,-0.32111918867643785,-0.45687462533730683,0.03747580763443281,-0.0582684314388089,-0.24734440880673303,1.55,15.0,2022-03-30,2022-09-15,2023-03-14
